City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,spearfish,44.4908,-103.8594,20.49,68,0,2.57,US,1724598609
1,afaahiti,-17.75,-149.2833,22.41,80,100,10.47,PF,1724598611
2,cabo san lucas,22.8909,-109.9124,30.42,57,40,8.75,MX,1724598612
3,howard springs,-12.497,131.047,26.95,83,0,1.3,AU,1724598613
4,lata,40.1629,-8.3327,26.94,49,0,6.19,PT,1724598614
5,uturoa,-16.7333,-151.4333,25.2,76,100,11.12,PF,1724598613
6,grytviken,-54.2811,-36.5092,-3.27,74,21,5.69,GS,1724598343
7,sunbury,-37.5833,144.7333,11.92,74,20,4.63,AU,1724598326
8,blackmans bay,-43.0167,147.3167,10.85,89,100,0.45,AU,1724598434
9,fortuna,40.5982,-124.1573,11.51,100,75,3.09,US,1724598585
10,kailua-kona,19.6406,-155.9956,23.98,99,75,4.12,US,1724598622
11,tazovsky,67.4667,78.7,10.95,73,19,1.7,RU,1724598623
12,talnakh,69.4865,88.3972,12.29,75,99,2.09,RU,1724598414
13,new norfolk,-42.7826,147.0587,11.51,93,69,1.62,AU,1724598625
14,ushuaia,-54.8,-68.3,6.81,70,75,2.57,AR,1724598075
15,luderitz,-26.6481,15.1594,17.5,61,0,8.23,NA,1724598425
16,nadym,65.5333,72.5167,14.03,71,23,2.36,RU,1724598487
17,al burayqah,30.4062,19.5739,28.86,72,0,8.54,LY,1724598629
18,port lincoln,-34.7333,135.8667,13.62,87,25,6.97,AU,1724598630
19,daru,-9.0763,143.2092,24.79,85,79,7.88,PG,1724598579
20,yemel'yanovo,56.1681,92.6767,17.45,100,40,1.0,RU,1724598632
21,waitangi,-43.9535,-176.5597,11.01,95,100,2.68,NZ,1724598633
22,albany,42.6001,-73.9662,23.13,78,71,0.89,US,1724598451
23,rawai,7.7797,98.3253,28.88,79,100,5.68,TH,1724598635
24,papatowai,-46.5619,169.4708,3.4,86,10,1.06,NZ,1724598342
25,edinburgh of the seven seas,-37.0676,-12.3116,10.95,72,74,9.63,SH,1724598637
26,ust-nera,64.5667,143.2,13.4,73,97,2.83,RU,1724598413
27,adamstown,-25.066,-130.1015,20.54,76,100,9.77,PN,1724598639
28,fale old settlement,-9.3852,-171.2468,27.91,74,8,6.73,TK,1724598440
29,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1724598642
30,bredasdorp,-34.5322,20.0403,17.31,57,97,2.25,ZA,1724598465
31,port saint john's,-31.6229,29.5448,18.46,77,100,3.31,ZA,1724598578
32,mogocha,53.7333,119.7667,10.06,97,54,2.19,RU,1724598646
33,ilulissat,69.2167,-51.1,4.01,100,75,4.63,GL,1724598397
34,tura,25.5198,90.2201,24.77,88,15,3.02,IN,1724598497
35,son la,21.3167,103.9,20.63,98,100,0.88,VN,1724598649
36,olonkinbyen,70.9221,-8.7187,3.7,97,100,9.65,SJ,1724598168
37,smithers,54.7804,-127.1743,11.49,78,100,1.0,CA,1724598652
38,east london,-33.0153,27.9116,18.52,77,75,5.66,ZA,1724598317
39,carolina beach,34.0352,-77.8936,26.72,84,83,5.92,US,1724598356
40,puerto colombia,10.9878,-74.9547,28.05,79,100,3.47,CO,1724598655
41,port-aux-francais,-49.35,70.2167,3.63,89,79,14.59,TF,1724598656
42,dryden,49.7833,-92.7503,24.72,64,57,4.92,CA,1724598657
43,baharly,38.4362,57.4316,36.24,14,2,3.43,TM,1724598658
44,puerto natales,-51.7236,-72.4875,4.25,87,75,1.03,CL,1724598464
45,anadyr,64.75,177.4833,6.28,70,40,7.0,RU,1724598391
46,iskateley,67.6803,53.1512,14.78,82,77,3.64,RU,1724598662
47,gadzhiyevo,69.2551,33.3362,16.99,52,91,8.98,RU,1724598378
48,longyearbyen,78.2186,15.6401,9.91,76,75,9.77,SJ,1724598347
49,talara,-4.5772,-81.2719,20.42,77,0,5.66,PE,1724598665
50,shakawe,-18.3667,21.85,31.28,9,0,3.31,BW,1724598666
51,lihue,21.9789,-159.3672,24.77,89,100,10.29,US,1724598589
52,ribeira grande,38.5167,-28.7,23.76,94,75,1.54,PT,1724598668
53,portarlington,53.1622,-7.1911,15.58,81,94,8.05,IE,1724598669
54,richards bay,-28.783,32.0377,20.83,70,36,4.17,ZA,1724598480
55,san patricio,28.017,-97.5169,30.97,55,0,3.61,US,1724598672
56,bridgewater,44.3835,-64.5155,27.28,59,8,1.79,CA,1724598673
57,damghan,36.1683,54.348,32.8,12,59,4.76,IR,1724598674
58,plettenberg bay,-34.0527,23.3716,16.2,64,20,2.52,ZA,1724598675
59,ghanzi,-21.5667,21.7833,29.09,10,0,2.09,BW,1724598676
60,thompson,55.7435,-97.8558,22.29,79,80,3.95,CA,1724598677
61,constantia,44.1833,28.65,30.38,71,0,6.21,RO,1724598496
62,punta arenas,-53.15,-70.9167,5.06,87,100,3.09,CL,1724598388
63,isafjordur,66.0755,-23.124,6.02,87,100,5.66,IS,1724598525
64,margate,51.3813,1.3862,20.39,53,58,1.34,GB,1724598682
65,crane,31.3974,-102.3501,27.49,52,2,7.24,US,1724598683
66,wotho,10.1657,166.0102,27.56,80,100,4.28,MH,1724598684
67,loushanguan,28.1375,106.82,22.38,84,22,1.93,CN,1724598685
68,coroata,-4.13,-44.1242,36.39,31,29,1.95,BR,1724598686
69,linxia chengguanzhen,35.6003,103.2064,16.41,90,100,1.53,CN,1724598687
70,kayangel,8.0823,134.7173,28.06,74,100,3.49,PW,1724598688
71,herceg novi,42.4531,18.5375,34.49,55,0,0.51,ME,1724598689
72,thinadhoo,0.5333,72.9333,28.11,75,100,3.93,MV,1724598692
73,bethel,41.3712,-73.414,26.06,69,0,0.0,US,1724598504
74,stanley,54.868,-1.6985,15.01,81,75,7.2,GB,1724598370
75,maintirano,-18.0667,44.0167,24.71,69,7,6.09,MG,1724598695
76,flying fish cove,-10.4217,105.6791,24.82,83,100,6.69,CX,1724598400
77,petropavlovsk-kamchatsky,53.0452,158.6483,10.68,85,100,5.21,RU,1724598457
78,carnarvon,-24.8667,113.6333,19.03,75,19,7.29,AU,1724598574
79,simcoe,42.8334,-80.2997,24.31,50,0,0.76,CA,1724598701
80,lerwick,60.1545,-1.1494,12.15,83,100,8.08,GB,1724598702
81,yellowknife,62.456,-114.3525,15.23,74,99,2.24,CA,1724598703
82,tamandare,-8.7597,-35.1047,26.51,60,25,5.31,BR,1724598704
83,ketchikan,55.3422,-131.6461,13.26,88,100,7.2,US,1724598705
84,mabaruma,8.2,-59.7833,33.5,49,98,1.75,GY,1724598706
85,hawaiian paradise park,19.5933,-154.9731,24.94,99,100,6.69,US,1724598384
86,college,64.8569,-147.8028,4.39,92,75,2.06,US,1724598458
87,tapa,59.2606,25.9586,27.63,45,25,5.62,EE,1724598710
88,west island,-12.1568,96.8225,26.99,89,20,6.17,CC,1724598553
89,suntar,62.1444,117.6319,11.95,86,19,2.51,RU,1724598712
90,kulhudhuffushi,6.6221,73.07,27.76,76,100,3.53,MV,1724598713
91,buon ma thuot,12.6667,108.05,21.89,98,100,1.47,VN,1724598633
92,lecheng,25.1238,113.3254,26.32,89,81,0.53,CN,1724598715
93,broome,42.2506,-75.833,24.81,64,0,0.45,US,1724598531
94,visby,57.6409,18.296,20.58,68,0,8.23,SE,1724598718
95,susuman,62.7833,148.1667,12.26,60,100,2.05,RU,1724598576
96,alice springs,-23.7,133.8833,18.75,48,33,0.0,AU,1724598720
97,gulf shores,30.246,-87.7008,28.89,70,7,3.13,US,1724598546
98,puerto leguizamo,-0.1934,-74.7819,31.97,53,48,1.11,CO,1724598722
99,aasiaat,68.7098,-52.8699,2.75,93,100,2.65,GL,1724598530
100,mili,6.0815,171.735,27.95,77,88,3.57,MH,1724598724
101,caleta de carquin,-11.0925,-77.6267,18.7,77,46,3.63,PE,1724598725
102,margaret river,-33.95,115.0667,16.14,79,69,7.3,AU,1724598348
103,nikolayevsk-on-amure,53.1406,140.73,13.73,76,97,1.52,RU,1724598387
104,hamilton,39.1834,-84.5333,30.97,60,0,3.6,US,1724598728
105,laojunmiao,39.8333,97.7333,18.47,66,7,5.74,CN,1724598612
106,ryotsu-minato,38.0833,138.4333,24.51,89,66,1.08,JP,1724598730
107,san luis de la loma,17.2706,-100.8939,28.67,73,2,0.06,MX,1724598731
108,kodiak,57.79,-152.4072,7.84,80,21,4.96,US,1724598131
109,grand forks,47.9417,-97.4337,27.85,74,40,7.2,US,1724598355
110,surami,42.0243,43.5556,18.5,93,100,2.17,GE,1724598735
111,mejit,10.2753,170.8646,28.29,78,100,6.11,MH,1724598509
112,fort bragg,35.139,-79.006,26.62,64,0,2.24,US,1724598446
113,marica,-22.9194,-42.8186,20.47,86,99,6.41,BR,1724598738
114,monticello,45.3055,-93.7941,25.68,87,100,3.09,US,1724598519
115,loiza,18.4313,-65.8802,32.17,70,40,5.14,PR,1724598741
116,sinabang,2.4803,96.3801,25.61,82,100,0.11,ID,1724598401
117,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1724598563
118,vorgashor,67.5833,63.95,15.04,69,99,3.17,RU,1724598362
119,inhambane,-23.865,35.3833,21.79,62,0,4.43,MZ,1724598746
120,alamosa,37.4695,-105.87,14.99,72,0,1.54,US,1724598747
121,khorixas,-20.3667,14.9667,32.19,7,0,1.9,NA,1724598748
122,chinde,26.8212,87.7095,25.06,92,44,1.32,NP,1724598749
123,walvis bay,-22.9575,14.5053,18.61,56,22,7.13,NA,1724598750
124,invercargill,-46.4,168.35,3.34,95,70,1.41,NZ,1724598514
125,utrik,11.2278,169.8474,28.44,81,98,7.87,MH,1724598450
126,loango,-4.6719,11.8312,23.9,74,31,4.75,CG,1724598755
127,cannonvale,-20.2833,148.7,20.66,81,78,4.24,AU,1724598756
128,la barceloneta,41.3807,2.1899,29.19,51,40,5.14,ES,1724598757
129,trairi,-3.2778,-39.2689,30.78,46,11,7.42,BR,1724598758
130,rey bouba,8.6724,14.1786,22.34,97,100,3.82,CM,1724598759
131,mahdia,35.5047,11.0622,31.38,46,0,6.06,TN,1724598760
132,st. john's,47.5649,-52.7093,23.97,68,20,6.17,CA,1724598360
133,haiku-pauwela,20.9219,-156.3051,24.57,94,100,9.39,US,1724598408
134,rongelap,11.1635,166.8941,28.22,78,100,4.6,MH,1724598763
135,benguela,-12.5763,13.4055,22.71,71,44,4.28,AO,1724598764
136,khabarovsk,48.4808,135.0928,17.89,88,20,3.0,RU,1724598765
137,dwarka,22.2394,68.9678,27.73,80,100,7.11,IN,1724598766
138,san julian,21.0167,-102.1667,17.22,76,2,3.19,MX,1724598767
139,freetown,8.484,-13.2299,25.01,90,100,5.64,SL,1724598768
140,port hueneme,34.1478,-119.1951,20.79,73,0,1.54,US,1724598563
141,madinat ash shamal,26.1293,51.2009,34.86,63,0,2.74,QA,1724598771
142,urangan,-25.3,152.9,20.04,83,0,2.75,AU,1724598772
143,iqaluit,63.7506,-68.5145,5.85,81,75,1.03,CA,1724598074
144,jamestown,42.097,-79.2353,25.01,61,20,1.54,US,1724598774
145,saldanha,-33.0117,17.9442,14.35,68,61,5.94,ZA,1724598775
146,san justo,-30.7891,-60.5919,12.77,53,0,2.68,AR,1724598776
147,keflavik,64.0049,-22.5624,9.24,71,75,7.2,IS,1724598777
148,nazca,-14.8333,-74.95,24.11,29,1,2.35,PE,1724598778
149,lebu,-37.6167,-73.65,10.76,58,99,2.01,CL,1724598484
150,port mathurin,-19.6833,63.4167,21.59,62,98,12.55,MU,1724598780
151,nagqu,31.5,92.0,6.62,70,24,2.12,CN,1724598448
152,kalnibolotskaya,46.0058,40.4568,30.54,19,27,7.27,RU,1724598782
153,apsheronsk,44.46,39.73,29.82,38,30,6.08,RU,1724598783
154,arraial do cabo,-22.9661,-42.0278,22.92,78,100,6.69,BR,1724598784
155,moussoro,13.6408,16.4901,28.63,62,100,5.38,TD,1724598785
156,fuglafjordur,62.244,-6.814,10.07,74,98,4.32,FO,1724598690
157,chifeng,42.2683,118.9636,20.41,65,100,0.11,CN,1724598787
158,vrontados,38.4089,26.1328,30.92,40,0,5.14,GR,1724598789
159,castillos,-34.1667,-53.8333,9.47,77,100,7.07,UY,1724598426
160,praia da vitoria,38.7333,-27.0667,26.53,70,100,2.39,PT,1724598603
161,hadibu,12.65,54.0333,28.2,68,65,6.48,YE,1724598529
162,vila franca do campo,37.7167,-25.4333,26.23,52,92,0.88,PT,1724598475
163,alotau,-10.3069,150.4462,21.1,94,98,1.67,PG,1724598794
164,georgetown,5.4112,100.3354,27.96,69,20,1.03,MY,1724598591
165,luba,3.4568,8.5547,25.43,85,100,3.11,GQ,1724598796
166,puerto baquerizo moreno,-0.9,-89.6,21.55,78,40,7.2,EC,1724598573
167,lazaro cardenas,17.9583,-102.2,27.92,80,12,1.52,MX,1724598798
168,massakory,12.996,15.7293,25.26,79,100,5.63,TD,1724598799
169,pedley,33.9753,-117.4759,20.64,68,0,1.54,US,1724598800
170,charters towers,-20.1,146.2667,16.0,92,0,3.74,AU,1724598801
171,laguna,38.421,-121.4238,16.17,83,0,2.06,US,1724598802
172,as samawah,31.332,45.2944,46.46,7,0,2.58,IQ,1724598803
173,port douglas,-16.4833,145.4667,22.4,69,97,4.69,AU,1724598804
174,san antonio de pale,-1.4014,5.6325,24.2,78,40,4.47,GQ,1724598473
175,masterton,-40.9597,175.6575,11.56,77,100,4.93,NZ,1724598806
176,adazi,57.0758,24.3214,30.01,46,30,4.28,LV,1724598808
177,el nido,11.1858,119.3956,27.3,89,97,4.07,PH,1724598645
178,klyuchi,52.2667,79.1667,14.67,77,94,6.59,RU,1724598452
179,murzuq,25.9155,13.9184,39.44,18,0,5.24,LY,1724598812
180,tindouf,27.6711,-8.1474,42.63,12,0,3.72,DZ,1724598813
181,hermanus,-34.4187,19.2345,17.67,69,100,7.27,ZA,1724598584
182,kaintragarh,20.7167,84.5333,25.08,92,91,0.89,IN,1724598816
183,labasa,-16.4167,179.3833,23.46,88,100,3.13,FJ,1724598817
184,pisco,-13.7,-76.2167,18.34,72,23,2.57,PE,1724598818
185,hastings,50.8552,0.5729,18.86,66,44,9.99,GB,1724598819
186,weno,7.4515,151.8468,28.18,74,100,3.32,FM,1724598820
187,simanggang,1.2472,111.4528,23.64,98,100,0.62,MY,1724598821
188,sault ste. marie,46.5168,-84.3333,22.16,78,0,2.06,CA,1724598822
189,tiksi,71.6872,128.8694,3.96,93,100,4.31,RU,1724598385
190,udachny,66.4167,112.4,9.82,89,100,4.83,RU,1724598463
191,usogorsk,63.4106,48.6872,19.47,54,14,2.48,RU,1724598826
192,damaturu,11.747,11.9608,22.59,83,100,6.1,NG,1724598827
193,albatera,38.179,-0.8706,30.98,66,8,2.68,ES,1724598828
194,bardai,11.65,7.2333,27.77,65,100,5.44,NG,1724598829
195,enewetak,11.3474,162.3373,28.6,70,69,5.19,MH,1724598492
196,hithadhoo,-0.6,73.0833,27.99,75,100,3.59,MV,1724598447
197,khromtau,50.2503,58.4347,18.26,59,100,3.78,KZ,1724598832
198,qarauyl,48.9451,79.255,14.92,52,10,3.79,KZ,1724598834
199,yako,12.9667,-2.2667,30.29,57,93,3.49,BF,1724598608
200,bumba,2.1833,22.4667,28.64,60,99,0.82,CD,1724598836
201,ciudad melchor muzquiz,27.8833,-101.5167,26.67,71,10,2.31,MX,1724598837
202,villamontes,-21.25,-63.5,13.1,32,100,2.34,BO,1724598839
203,antofagasta,-23.65,-70.4,18.6,65,41,2.36,CL,1724598695
204,dudinka,69.4058,86.1778,11.95,78,100,0.77,RU,1724598396
205,fredericton,45.9454,-66.6656,26.02,66,21,2.35,CA,1724598842
206,atafu village,-8.5421,-172.5159,28.18,71,16,8.28,TK,1724598608
207,al minya,28.1099,30.7503,38.86,15,0,4.6,EG,1724598844
208,puerto ayora,-0.7393,-90.3518,20.31,92,54,2.68,EC,1724598272
209,tshela,-4.9833,12.9333,33.74,35,21,2.57,CD,1724598847
210,karratha,-20.7377,116.8463,24.33,39,1,4.01,AU,1724598848
211,joshimath,30.5667,79.5667,17.37,78,49,2.28,IN,1724598849
212,wailua homesteads,22.0669,-159.378,24.44,89,100,10.29,US,1724598850
213,tazacorte,28.629,-17.9293,26.75,76,20,6.69,ES,1724598851
214,nieuw amsterdam,5.8833,-55.0833,32.13,53,75,2.48,SR,1724598852
215,mount isa,-20.7333,139.5,14.87,51,0,0.0,AU,1724598598
